date,employeeid,gender,age,ethnicgroup,fp,termdate,isnnewhire,bu,hiredate,paytypeid,termreason,agegroupid,tenuredays,tenuremonths,badhire
2023-12-31,32,1,19,H,F,2023-06-30,0,Sales,2022-09-29,1,7,1,273,8,0
2023-12-31,33,2,39,A,F,,0,Operations 2,2022-10-02,1,,3,454,14,0
2023-12-31,34,1,29,A,F,,0,Customer Support 2,2023-09-25,2,,2,96,3,0
2023-12-31,35,2,31,W,F,,0,Sales 2,2023-04-26,2,,2,248,8,0
2023-12-31,36,2,43,H,F,,0,Marketing,2023-05-19,4,,3,225,7,0
2023-12-31,37,2,19,W,F,,0,Customer Support 3,2023-02-18,3,,1,315,10,0
2023-12-31,38,1,25,W,F,,0,Sales,2018-01-01,3,,2,2190,71,0
2023-12-31,39,3,18,A,F,,0,Executive 4,2022-02-03,1,,1,695,22,0
2023-12-31,40,1,44,B,F,2023-12-31,0,IT 3,2023-02-07,2,6,3,326,10,0
2023-12-31,41,1,30,A,F,2023-12-10,0,Legal 3,2023-04-20,5,1,2,233,7,0
2023-12-31,42,1,28,W,F,,0,Sales,2021-01-10,3,,2,1084,35,0
2023-12-31,43,1,25,T,I,2023-09-19,0,Customer Support 2,2023-08-14,2,4,2,35,1,1
2023-12-31,44,2,53,H,F,2023-12-31,0,IT 2,2023-09-17,5,11,4,104,3,0
2023-12-31,45,2,39,B,I,,1,Sales 3,2023-10-31,3,,3,60,1,0
2023-12-31,46,2,21,B,P,2023-07-23,0,Legal 3,2023-03-04,1,2,1,140,4,0
2023-12-31,47,1,56,A,F,2023-12-15,1,IT,2023-11-16,4,3,5,29,0,1
2023-12-31,48,1,22,B,C,,0,Customer Support 3,2023-02-16,1,,1,317,10,0
2023-12-31,49,2,33,W,F,,0,IT 4,2023-02-26,2,,2,307,10,0
2023-12-31,50,2,55,T,F,,0,Operations,2022-01-19,4,,5,710,23,0
2023-12-31,51,4,37,W,T,,0,Marketing 4,2023-01-24,2,,3,340,11,0
2023-12-31,52,1,21,T,F,,0,Finance,2022-09-06,5,,1,480,15,0
2023-12-31,53,2,50,H,P,,0,Sales 4,2023-05-21,3,,4,223,7,0
2023-12-31,54,1,63,W,T,2022-12-05,0,IT 3,2022-09-12,2,4,5,83,2,1
2023-12-31,55,2,28,W,F,,1,Marketing,2023-11-26,2,,2,34,1,0
2023-12-31,56,2,48,W,C,,0,Sales 4,2022-03-17,4,,4,653,21,0
2023-12-31,57,2,38,H,F,2023-12-31,1,Sales 2,2023-11-29,4,1,3,31,1,1
2023-12-31,58,2,46,H,F,,0,IT 2,2023-08-26,2,,4,126,4,0
2023-12-31,59,2,34,W,F,,1,Marketing 4,2023-10-30,1,,2,61,2,0
2023-12-31,60,1,20,A,F,,0,IT 4,2023-02-02,5,,1,331,10,0
2023-12-31,61,2,56,H,C,2023-04-26,0,Finance,2023-03-08,1,3,5,49,1,1
2023-12-31,62,1,47,W,F,,0,Legal 2,2021-12-12,1,,4,748,24,0
2023-12-31,63,2,29,H,I,2023-12-31,1,R&D,2023-11-19,2,6,2,41,1,1
2023-12-31,64,1,36,W,C,,0,Sales,2021-12-15,3,,3,745,24,0
2023-12-31,65,2,37,W,P,,0,Sales 3,2023-06-30,3,,3,183,6,0
2023-12-31,66,2,26,H,F,,0,Customer Support,2023-02-07,1,,2,326,10,0
2023-12-31,67,1,63,W,F,,0,Customer Support 2,2021-03-09,2,,5,1026,33,0
2023-12-31,68,2,62,H,F,,0,HR,2023-06-19,2,,5,194,6,0
2023-12-31,69,2,19,W,F,,0,Marketing 3,2022-07-25,2,,1,523,17,0
2023-12-31,70,2,55,W,F,2023-05-23,0,Customer Support 3,2023-03-13,2,5,5,71,2,1
2023-12-31,71,2,40,N,F,,1,Legal,2023-10-02,1,,3,89,2,0
2023-12-31,72,1,27,W,F,,0,IT 2,2018-01-01,2,,2,2190,71,0
2023-12-31,73,1,31,H,C,,1,IT 3,2023-11-28,2,,2,32,1,0
2023-12-31,74,2,30,B,F,,0,Marketing 2,2022-02-23,2,,2,675,22,0
2023-12-31,75,2,40,W,F,2023-11-28,1,Marketing,2023-11-24,2,6,3,4,0,1
2023-12-31,76,2,31,T,F,,0,IT,2023-04-20,5,,2,254,8,0
2023-12-31,77,1,43,H,T,,0,Marketing 4,2021-05-02,2,,3,972,31,0
2023-12-31,78,1,19,W,F,2023-02-11,0,Sales 4,2022-11-30,3,5,1,73,2,1
2023-12-31,79,2,44,A,F,,0,Sales 3,2023-01-25,3,,3,339,11,0
2023-12-31,80,2,19,W,F,,1,Sales,2023-10-06,3,,1,85,2,0
2023-12-31,81,2,39,B,F,,1,IT 2,2023-12-02,1,,3,28,0,0
2023-12-31,82,1,60,O,F,,0,HR,2022-08-17,1,,5,500,16,0
2023-12-31,83,1,37,A,C,,0,Executive 2,2021-11-27,2,,3,763,25,0
2023-12-31,84,2,45,A,P,2023-12-31,0,Legal,2023-08-09,1,11,4,143,4,0
2023-12-31,85,2,34,W,F,,0,Sales 4,2023-09-24,2,,2,97,3,0
2023-12-31,86,2,35,B,F,,0,IT,2023-05-22,5,,3,222,7,0
2023-12-31,87,3,35,A,F,2022-10-29,0,Sales 2,2022-10-08,2,7,3,20,0,1
2023-12-31,88,2,37,A,P,2022-04-12,0,Sales 3,2021-11-11,2,7,3,151,4,0
2023-12-31,89,2,60,B,F,2023-12-18,1,Sales 2,2023-11-09,2,11,5,38,1,1
2023-12-31,90,2,36,B,C,,0,Legal 2,2020-08-24,2,,3,1223,40,0
2023-12-31,91,1,53,B,T,2023-07-17,0,HR,2023-03-18,4,3,4,120,3,0
2023-12-31,92,2,40,H,F,,1,Sales 4,2023-11-28,3,,3,32,1,0
2023-12-31,93,1,35,H,F,,0,Operations 3,2022-03-04,1,,3,666,21,0
2023-12-31,94,2,33,N,F,,1,Operations 3,2023-10-31,1,,2,60,1,0
2023-12-31,95,1,28,B,F,,0,IT,2023-05-12,2,,2,232,7,0
2023-12-31,96,1,48,H,I,,1,Sales 3,2023-12-21,1,,4,9,0,0
2023-12-31,97,2,29,O,F,,0,IT,2023-01-23,2,,2,341,11,0
2023-12-31,98,1,58,H,F,,0,Operations 3,2023-08-02,1,,5,150,4,0
2023-12-31,99,2,24,N,F,,0,Legal 3,2023-04-26,2,,1,248,8,0
2023-12-31,100,1,19,O,F,2022-01-24,0,Marketing,2021-12-11,1,6,1,43,1,1
2023-12-31,101,1,31,H,F,,1,Marketing 4,2023-12-20,1,,2,10,0,0
2023-12-31,102,1,33,H,F,,0,IT 3,2023-05-03,2,,2,241,7,0
2023-12-31,103,1,32,H,C,,0,R&D,2022-12-22,1,,2,373,12,0
2023-12-31,104,2,63,A,C,,0,Marketing 3,2023-03-30,3,,5,275,9,0
2023-12-31,105,2,50,H,T,,1,Marketing,2023-10-23,1,,4,68,2,0
2023-12-31,106,1,40,W,C,,0,Sales,2021-07-13,2,,3,900,29,0
2023-12-31,107,1,37,W,F,,0,Marketing 3,2021-12-27,5,,3,733,24,0
2023-12-31,108,1,45,W,P,,1,IT,2023-12-17,2,,4,13,0,0
2023-12-31,109,2,28,W,F,,0,IT 3,2023-09-09,2,,2,112,3,0
2023-12-31,110,1,20,W,F,,0,Sales,2020-08-01,2,,1,1246,40,0
2023-12-31,111,1,45,N,F,2023-08-23,0,Sales 3,2023-03-07,5,4,4,169,5,0
2023-12-31,112,2,54,A,F,2023-12-31,1,Sales 3,2023-11-29,3,3,4,31,1,1
2023-12-31,113,1,26,B,F,2023-01-15,0,Executive 4,2022-06-12,2,6,2,216,7,0
2023-12-31,114,2,57,H,F,,0,HR,2023-03-26,5,,5,279,9,0
2023-12-31,115,2,56,W,F,2023-07-17,0,Legal 2,2023-04-29,1,3,5,79,2,1
2023-12-31,116,2,63,W,F,,0,Marketing 4,2023-03-04,3,,5,301,9,0
2023-12-31,117,2,26,W,P,,0,R&D,2020-09-10,2,,2,1206,39,0
2023-12-31,118,1,60,W,F,2018-01-09,0,HR,2018-01-01,2,5,5,8,0,1
2023-12-31,119,2,36,O,C,,0,Executive 2,2023-02-06,2,,3,327,10,0
2023-12-31,120,2,35,W,C,,0,Marketing,2023-09-30,2,,3,91,2,0
2023-12-31,121,2,50,W,F,2021-06-16,0,Legal,2021-01-10,1,1,4,156,5,0
2023-12-31,122,1,29,W,P,2023-08-31,0,Sales 2,2023-07-27,4,3,2,34,1,1
2023-12-31,123,2,33,H,P,2023-08-30,0,Marketing 3,2023-07-01,2,11,2,59,1,1
2023-12-31,124,1,32,O,F,,0,IT 2,2023-02-05,1,,2,328,10,0
2023-12-31,125,1,54,H,P,,0,IT,2021-10-23,2,,4,798,26,0
2023-12-31,126,2,40,W,F,,0,Operations,2023-03-10,1,,3,295,9,0
2023-12-31,127,2,26,B,F,,0,Customer Support 3,2023-09-16,2,,2,105,3,0
2023-12-31,128,1,44,H,F,,0,Legal 3,2023-09-29,2,,3,92,3,0
2023-12-31,129,1,53,W,F,2023-12-31,1,Sales,2023-11-19,3,2,4,41,1,1
2023-12-31,130,1,41,A,P,,0,Legal,2021-11-12,2,,3,778,25,0
2023-12-31,131,2,63,W,F,2022-04-13,0,Marketing 4,2021-12-02,1,1,5,131,4,0
2023-12-31,132,2,42,H,T,,1,Legal 3,2023-11-17,1,,3,43,1,0
2023-12-31,133,1,42,W,T,,0,Sales,2023-01-24,1,,3,340,11,0
2023-12-31,134,2,31,B,I,2023-12-31,0,Sales 4,2023-03-28,3,4,2,277,9,0
2023-12-31,135,2,53,H,F,2023-11-20,0,Executive 2,2023-08-01,2,11,4,110,3,0
2023-12-31,136,1,42,W,F,,0,IT 2,2023-01-22,2,,3,342,11,0
2023-12-31,137,1,29,W,F,,1,Marketing 4,2023-10-29,2,,2,62,2,0
2023-12-31,138,1,32,H,F,,0,IT,2023-09-14,2,,2,107,3,0
2023-12-31,139,1,39,A,F,,1,HR,2023-11-17,1,,3,43,1,0
2023-12-31,140,1,62,W,F,2018-06-02,0,Sales 2,2018-03-14,2,3,5,79,2,1
2023-12-31,141,2,39,W,F,,0,IT 3,2022-12-16,2,,3,379,12,0
2023-12-31,142,1,56,O,F,,0,Sales 3,2023-07-28,3,,5,155,5,0
2023-12-31,143,1,28,A,F,2020-02-08,0,Executive 4,2019-12-04,5,12,2,66,2,1
2023-12-31,144,1,28,H,F,,0,Operations 3,2023-01-03,2,,2,361,11,0
2023-12-31,145,1,38,H,F,,0,Sales,2023-02-14,3,,3,319,10,0
2023-12-31,146,2,33,B,F,2023-12-31,1,Sales 3,2023-10-12,3,6,2,79,2,1
2023-12-31,147,1,38,H,I,,0,Customer Support 2,2021-02-20,3,,3,1043,34,0
2023-12-31,148,2,25,W,F,,0,Customer Support,2022-12-12,2,,2,383,12,0
2023-12-31,149,1,27,O,F,,0,Customer Support 3,2022-05-04,2,,2,605,19,0
2023-12-31,150,2,34,A,P,,1,HR,2023-12-10,5,,2,20,0,0
2023-12-31,151,1,61,W,F,2023-12-31,1,Marketing 2,2023-12-16,2,9,5,14,0,1
2023-12-31,152,1,38,W,F,2022-08-09,0,IT 4,2022-03-25,2,3,3,136,4,0
2023-12-31,153,1,29,H,P,2022-07-29,0,Operations 2,2022-05-28,1,1,2,62,2,1
2023-12-31,154,1,36,W,F,,0,IT 3,2022-03-07,2,,3,663,21,0
2023-12-31,155,2,29,A,F,2022-07-10,0,IT 3,2022-04-12,2,10,2,89,2,1
2023-12-31,156,2,43,H,F,2023-07-28,0,R&D,2023-07-28,2,6,3,0,0,1
2023-12-31,157,1,37,W,F,,0,Marketing 4,2023-03-05,2,,3,300,9,0
2023-12-31,158,1,39,B,P,2023-11-08,1,Sales 4,2023-10-09,3,9,3,30,0,1
2023-12-31,159,1,27,W,F,,0,Marketing 2,2019-12-07,1,,2,1484,48,0
2023-12-31,160,2,44,W,F,,0,Customer Support 3,2023-03-07,2,,3,298,9,0
2023-12-31,161,3,36,H,F,,0,Marketing,2022-12-24,1,,3,371,12,0
2023-12-31,162,1,25,W,F,,0,Marketing 2,2023-03-01,1,,2,304,9,0
2023-12-31,163,1,24,W,T,2023-05-13,0,IT,2022-09-09,2,5,1,246,8,0
2023-12-31,164,1,56,O,F,,0,Marketing,2022-01-01,5,,5,728,23,0
2023-12-31,165,1,32,W,F,,0,Sales 4,2022-09-20,3,,2,466,15,0
2023-12-31,166,1,44,H,F,,0,Operations,2022-06-22,2,,3,556,18,0
2023-12-31,167,2,33,W,F,,0,IT,2023-08-16,2,,2,136,4,0
2023-12-31,168,1,37,W,P,2023-11-06,0,Sales,2023-03-13,4,7,3,237,7,0
2023-12-31,169,2,27,H,F,,0,IT 2,2021-11-01,5,,2,789,25,0
2023-12-31,170,4,25,W,F,,0,HR,2020-03-25,2,,2,1375,45,0
2023-12-31,171,2,33,W,F,,0,IT 3,2022-11-01,2,,2,424,13,0
2023-12-31,172,2,41,O,F,,0,IT 2,2022-04-24,5,,3,615,20,0
2023-12-31,173,2,31,W,F,,0,Legal,2020-11-22,2,,2,1133,37,0
2023-12-31,174,2,38,W,P,,1,Sales 4,2023-12-28,3,,3,2,0,0
2023-12-31,175,1,32,W,P,,0,Finance,2021-07-10,1,,2,903,29,0
2023-12-31,176,1,44,W,F,,0,IT 2,2023-04-01,2,,3,273,8,0
2023-12-31,177,2,27,B,F,,0,Legal,2021-06-20,2,,2,923,30,0
2023-12-31,178,1,36,W,I,,0,Sales 3,2023-06-23,2,,3,190,6,0
2023-12-31,179,1,42,B,P,,0,Sales 2,2023-03-28,3,,3,277,9,0
2023-12-31,180,2,41,W,F,,0,R&D,2022-08-21,2,,3,496,16,0
2023-12-31,181,2,44,W,F,2022-12-30,0,IT 3,2022-11-16,2,4,3,44,1,1
2023-12-31,182,2,45,W,P,2021-08-11,0,R&D,2020-11-23,2,1,4,260,8,0
2023-12-31,183,1,42,W,F,,0,Customer Support 3,2023-03-01,5,,3,304,9,0
2023-12-31,184,2,44,H,F,,0,Legal,2022-02-18,1,,3,680,22,0
2023-12-31,185,1,64,H,C,2023-08-31,0,IT,2023-07-11,2,5,5,51,1,1
2023-12-31,186,2,32,H,F,2023-12-31,0,Legal,2023-05-08,1,2,2,236,7,0
2023-12-31,187,1,33,W,T,,0,IT 3,2023-06-25,2,,2,188,6,0
2023-12-31,188,2,39,H,F,,1,Operations 2,2023-11-27,2,,3,33,1,0
2023-12-31,189,1,33,W,F,,0,Operations 2,2022-07-14,1,,2,534,17,0
2023-12-31,190,2,28,W,F,,0,Customer Support 2,2023-02-14,1,,2,319,10,0
2023-12-31,191,2,43,O,F,,0,Customer Support 3,2022-03-03,5,,3,667,21,0
2023-12-31,192,1,30,T,I,,0,IT,2021-10-25,1,,2,796,26,0
2023-12-31,193,2,27,H,F,,0,Finance,2023-08-19,2,,2,133,4,0
2023-12-31,194,1,54,A,F,,0,IT 2,2018-01-01,4,,4,2190,71,0
2023-12-31,195,2,36,W,F,2023-12-31,0,Sales 4,2023-08-12,2,5,3,140,4,0
2023-12-31,196,2,65,W,P,,0,Marketing 4,2022-03-29,1,,5,641,21,0
2023-12-31,197,2,40,O,F,2023-01-07,0,Marketing 3,2022-11-01,4,3,3,66,2,1
2023-12-31,198,2,36,W,F,,0,Marketing 2,2021-12-30,1,,3,730,23,0
2023-12-31,199,1,32,H,F,,0,IT 4,2023-07-28,2,,2,155,5,0
2023-12-31,200,1,44,W,P,,0,IT 2,2023-05-03,5,,3,241,7,0
2023-12-31,201,1,34,H,F,,0,Sales,2023-09-05,4,,2,116,3,0
2023-12-31,202,1,19,W,F,2023-05-31,0,Sales,2023-03-07,2,7,1,85,2,1
2023-12-31,203,1,35,A,F,,1,Sales,2023-10-07,3,,3,84,2,0
2023-12-31,204,2,51,W,F,,0,Sales 4,2022-08-27,5,,4,490,16,0
2023-12-31,205,2,42,H,F,,0,Sales 2,2021-04-09,2,,3,995,32,0
2023-12-31,206,2,29,W,F,,0,Sales 4,2023-09-02,3,,2,119,3,0
2023-12-31,207,3,20,W,F,,1,Marketing,2023-11-15,2,,1,45,1,0
2023-12-31,208,2,41,H,F,2023-06-06,0,IT 2,2022-12-28,2,7,3,159,5,0
2023-12-31,209,2,26,H,F,,0,Sales 4,2023-04-17,1,,2,257,8,0
2023-12-31,210,2,41,W,F,,0,Customer Support 3,2023-09-08,2,,3,113,3,0
2023-12-31,211,2,39,W,F,,1,HR,2023-11-17,2,,3,43,1,0
2023-12-31,212,2,34,H,P,,0,Customer Support,2021-08-24,4,,2,858,28,0
2023-12-31,213,2,39,O,P,,0,Marketing,2023-07-05,2,,3,178,5,0
2023-12-31,214,1,25,W,F,,0,IT 4,2022-07-02,2,,2,546,17,0
2023-12-31,215,1,44,H,C,,0,HR,2021-08-03,1,,3,879,28,0
2023-12-31,216,2,56,A,F,,0,Marketing,2023-07-15,5,,5,168,5,0
2023-12-31,217,2,44,W,F,,0,IT 4,2023-03-17,2,,3,288,9,0
2023-12-31,218,1,38,B,F,2023-12-31,1,Sales 2,2023-12-14,2,2,3,16,0,1
2023-12-31,219,1,44,A,F,,0,IT 3,2023-09-26,2,,3,95,3,0
2023-12-31,220,2,30,W,P,,0,Customer Support 3,2023-09-19,1,,2,102,3,0
2023-12-31,221,2,46,H,F,2023-12-31,0,Sales 3,2023-09-26,2,1,4,95,3,0
2023-12-31,222,1,53,W,F,,0,R&D,2023-08-29,2,,4,123,4,0
2023-12-31,223,1,38,W,F,,0,Legal 3,2022-10-14,5,,3,442,14,0
2023-12-31,224,2,25,W,C,,0,Customer Support 2,2023-06-20,4,,2,193,6,0
2023-12-31,225,2,23,A,C,2023-12-31,0,Marketing 3,2022-05-15,1,4,1,594,19,0
2023-12-31,226,1,35,W,F,,0,Sales 3,2023-04-11,3,,3,263,8,0
2023-12-31,227,2,43,N,F,,0,Sales 2,2022-03-27,2,,3,643,21,0
2023-12-31,228,1,48,W,F,2023-12-31,1,Sales 4,2023-12-20,2,6,4,10,0,1
2023-12-31,229,2,33,W,C,,0,Operations 3,2021-08-29,4,,2,853,28,0
2023-12-31,230,1,53,H,F,,1,Sales 4,2023-12-23,2,,4,7,0,0
2023-12-31,231,2,64,W,F,,0,IT,2023-09-18,1,,5,103,3,0
2023-12-31,232,1,35,T,T,2019-10-22,0,Customer Support 3,2018-11-01,3,4,3,355,11,0
2023-12-31,233,2,28,A,I,,1,IT 2,2023-11-04,2,,2,56,1,0
2023-12-31,234,1,26,W,F,,0,Customer Support,2021-09-01,2,,2,850,27,0
2023-12-31,235,2,35,H,P,2022-06-18,0,Operations 2,2022-05-21,1,3,3,27,0,1
2023-12-31,236,1,44,W,T,,0,R&D,2023-04-13,2,,3,261,8,0
2023-12-31,237,1,48,W,F,,0,Customer Support 3,2020-12-08,3,,4,1117,36,0
2023-12-31,238,2,18,W,F,2023-12-31,1,Sales 3,2023-10-23,3,2,1,68,2,1
2023-12-31,239,1,34,W,T,2023-12-31,1,Executive 4,2023-12-01,2,2,2,29,0,1
2023-12-31,240,2,32,B,F,,0,Sales 3,2022-11-10,2,,2,415,13,0
2023-12-31,241,2,45,W,C,,0,IT 4,2022-07-14,2,,4,534,17,0
2023-12-31,242,1,31,B,F,2021-11-08,0,HR,2021-10-31,1,6,2,8,0,1
2023-12-31,243,1,34,A,C,,0,Marketing 2,2020-11-14,1,,2,1141,37,0
2023-12-31,244,2,22,W,F,,0,Sales 2,2023-05-06,2,,1,238,7,0
2023-12-31,245,1,44,A,F,,0,Sales 2,2020-04-05,2,,3,1364,44,0
2023-12-31,246,2,37,W,C,,0,Customer Support 2,2022-10-12,3,,3,444,14,0
2023-12-31,247,4,45,H,F,,1,IT 3,2023-10-06,4,,4,85,2,0
2023-12-31,248,1,64,H,I,,0,Sales 3,2022-12-29,2,,5,366,12,0
2023-12-31,249,1,45,B,F,,1,Operations 3,2023-12-14,4,,4,16,0,0
2023-12-31,250,1,31,W,C,2023-12-19,0,Marketing 3,2023-08-02,1,1,2,138,4,0
2023-12-31,251,2,22,A,F,,0,IT,2022-03-30,2,,1,640,21,0
2023-12-31,252,1,41,H,F,2020-01-31,0,Customer Support 3,2019-12-13,1,6,3,48,1,1
2023-12-31,253,2,39,W,F,2023-12-31,1,Executive,2023-10-12,2,6,3,79,2,1
2023-12-31,254,2,28,W,F,2021-02-23,0,Legal,2020-11-13,2,1,2,102,3,0
2023-12-31,255,1,31,W,F,,0,Legal,2023-05-01,2,,2,243,7,0
2023-12-31,256,2,42,A,I,,0,Finance,2021-10-05,2,,3,816,26,0
2023-12-31,257,2,32,H,T,,0,Operations 3,2023-08-02,1,,2,150,4,0
2023-12-31,258,1,23,W,F,,1,Sales 2,2023-12-29,1,,1,1,0,0
2023-12-31,259,2,50,O,F,,0,Marketing,2022-11-01,2,,4,424,13,0
2023-12-31,260,2,42,A,P,,0,Sales 2,2023-07-10,2,,3,173,5,0
2023-12-31,261,2,32,W,T,,0,Operations 3,2023-03-26,1,,2,279,9,0
2023-12-31,262,2,58,W,F,2023-11-03,0,Marketing,2023-08-15,5,2,5,79,2,1
2023-12-31,263,1,39,W,F,,0,IT 3,2023-03-30,2,,3,275,9,0
2023-12-31,264,2,35,A,C,,0,Sales 4,2023-09-04,2,,3,117,3,0
2023-12-31,265,1,44,W,T,2023-05-11,0,Customer Support 2,2022-12-27,3,7,3,135,4,0
2023-12-31,266,1,41,W,F,,0,Marketing 2,2019-09-10,5,,3,1572,51,0
2023-12-31,267,1,20,B,F,,0,IT 2,2019-10-10,2,,1,1542,50,0
2023-12-31,268,1,42,H,F,,0,Marketing 4,2023-02-24,4,,3,309,10,0
2023-12-31,269,2,25,B,F,,0,IT 3,2022-04-25,2,,2,614,20,0
2023-12-31,270,1,35,W,F,,0,Operations 3,2020-09-17,2,,3,1199,39,0
2023-12-31,271,2,59,B,P,2023-05-10,0,Operations 3,2023-03-04,1,5,5,66,2,1
2023-12-31,272,1,45,B,T,2023-12-31,1,Sales,2023-11-21,3,7,4,39,1,1
2023-12-31,273,1,28,W,F,,1,Customer Support 3,2023-12-27,2,,2,3,0,0
2023-12-31,274,2,37,H,F,,1,Sales,2023-11-27,4,,3,33,1,0
2023-12-31,275,2,25,W,F,,0,Sales,2022-01-20,2,,2,709,23,0
2023-12-31,276,2,42,W,F,,0,Customer Support 2,2023-09-12,2,,3,109,3,0
2023-12-31,277,2,42,W,F,,0,Marketing,2022-09-06,2,,3,480,15,0
2023-12-31,278,2,26,W,F,,0,Sales 4,2022-03-03,3,,2,667,21,0
2023-12-31,279,2,44,W,F,,0,IT 2,2023-02-18,4,,3,315,10,0
2023-12-31,280,1,53,W,C,2022-11-06,0,Marketing 3,2022-05-24,3,5,4,165,5,0
2023-12-31,281,4,30,A,P,,1,Operations,2023-10-26,1,,2,65,2,0
2023-12-31,282,2,22,H,F,2021-08-05,0,IT 3,2021-05-01,1,1,1,95,3,0
2023-12-31,283,1,40,W,F,2023-12-31,1,Sales,2023-12-10,2,1,3,20,0,1
2023-12-31,284,1,43,W,F,2023-12-31,0,Sales 2,2022-08-08,3,1,3,509,16,0
2023-12-31,285,1,35,W,F,,0,Sales,2023-04-29,3,,3,245,8,0
2023-12-31,286,2,59,B,F,2023-12-31,1,Sales 3,2023-10-10,4,3,5,81,2,1
2023-12-31,287,1,22,W,F,,0,IT 4,2022-08-08,1,,1,509,16,0
2023-12-31,288,1,40,W,P,,1,Executive 3,2023-11-30,5,,3,30,0,0
2023-12-31,289,1,24,A,F,,0,Finance,2021-05-23,3,,1,951,31,0
2023-12-31,290,2,62,B,F,2023-12-29,0,Sales 3,2023-09-21,3,3,5,99,3,0
2023-12-31,291,1,27,A,F,,0,R&D,2023-04-04,2,,2,270,8,0
2023-12-31,292,2,63,W,F,,1,Legal 2,2023-12-19,1,,5,11,0,0
2023-12-31,293,1,29,H,C,2023-12-31,0,Sales,2023-06-17,2,6,2,196,6,0
2023-12-31,294,1,41,A,F,,0,Legal 2,2022-01-25,3,,3,704,23,0
2023-12-31,295,2,35,W,T,,1,IT 2,2023-10-14,2,,3,77,2,0
2023-12-31,296,1,39,T,C,2022-06-09,0,IT 3,2022-06-01,2,2,3,8,0,1
2023-12-31,297,2,43,W,F,,0,IT 4,2021-05-08,2,,3,966,31,0
2023-12-31,298,2,63,A,C,,0,Customer Support 2,2023-09-22,2,,5,99,3,0
2023-12-31,299,2,34,A,F,2023-12-09,0,Operations 2,2023-01-19,1,6,2,324,10,0
2023-12-31,300,1,19,B,F,,0,Sales 4,2022-08-02,3,,1,515,16,0
2023-12-31,301,2,43,A,P,,0,Operations,2023-09-03,1,,3,118,3,0
2023-12-31,302,2,41,W,F,,0,Sales 2,2022-01-28,2,,3,701,23,0
2023-12-31,303,1,44,H,P,2023-12-31,0,Sales 4,2023-08-25,2,2,3,127,4,0
2023-12-31,304,1,55,W,P,2023-08-31,0,Customer Support,2023-02-23,1,2,5,189,6,0
