Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
K-89916,2795,518,5,Groceries,Beverages,Bank Transfer
K-89916,14374,-4306,2,Furniture,Office,Bank Transfer
K-16796,35633,8976,6,Electronics,Mobile Phones,Airtel Money
K-16796,7721,2168,8,Beauty,Personal Care,M-Pesa
K-99225,1271,16,3,Groceries,Fresh Produce,Cash on Delivery
K-99225,42483,-8372,6,Furniture,Outdoor,Airtel Money
K-99225,13585,499,6,Clothing,Formal Wear,Airtel Money
K-99225,49376,-8105,9,Electronics,Accessories,Cash on Delivery
K-99225,7727,920,1,Furniture,Kitchen,Airtel Money
K-17947,1137,124,1,Beauty,Fragrances,Cash on Delivery
K-17947,5171,321,10,Groceries,Snacks,Cash on Delivery
K-17947,51189,15302,10,Electronics,Accessories,Credit Card
K-17947,1872,468,2,Beauty,Haircare,Cash on Delivery
K-17947,16783,-4560,3,Electronics,Laptops,M-Pesa
K-92758,8515,-430,8,Beauty,Fragrances,Bank Transfer
K-92758,3658,1155,4,Beauty,Fragrances,Credit Card
K-42014,61436,-10744,9,Furniture,Bedroom,Bank Transfer
K-42014,3774,-902,8,Groceries,Beverages,M-Pesa
K-42014,3494,1228,8,Groceries,Snacks,Airtel Money
K-42014,7459,-1578,7,Beauty,Fragrances,Bank Transfer
K-59072,39117,-5429,7,Electronics,TVs,M-Pesa
K-59072,546,167,1,Groceries,Fresh Produce,Credit Card
K-59072,8008,1036,10,Beauty,Personal Care,Cash on Delivery
K-59072,16507,-1629,4,Electronics,Laptops,Airtel Money
K-13238,11484,-3193,6,Clothing,Formal Wear,Airtel Money
K-33806,8049,2005,7,Beauty,Fragrances,Airtel Money
K-33806,22354,-2640,3,Furniture,Bedroom,Cash on Delivery
K-60809,5444,1560,6,Beauty,Personal Care,Airtel Money
K-29333,7762,3063,7,Beauty,Fragrances,Airtel Money
K-29333,3851,1188,8,Groceries,Fresh Produce,Credit Card
K-29333,3200,242,3,Beauty,Fragrances,Credit Card
K-29333,1993,-80,1,Clothing,Casual Wear,Airtel Money
K-29333,33405,8519,5,Furniture,Bedroom,Bank Transfer
K-48659,4209,622,1,Electronics,Mobile Phones,Airtel Money
K-48659,4690,912,4,Beauty,Personal Care,Airtel Money
K-48659,22159,1137,4,Electronics,Laptops,Cash on Delivery
K-58706,39962,-9811,7,Electronics,Accessories,Bank Transfer
K-32253,69691,17503,9,Furniture,Kitchen,Bank Transfer
K-32253,8189,2157,7,Beauty,Skincare,Cash on Delivery
K-32253,15163,130,3,Electronics,TVs,M-Pesa
K-32253,6929,-1334,1,Furniture,Outdoor,M-Pesa
K-32253,4674,1783,10,Groceries,Snacks,M-Pesa
K-10269,19018,4439,8,Clothing,Accessories,Credit Card
K-53680,8593,3128,1,Furniture,Living Room,Credit Card
K-53680,3463,-763,3,Beauty,Personal Care,Credit Card
K-53680,2123,668,4,Groceries,Cereals,Bank Transfer
K-94498,1726,71,3,Groceries,Snacks,Airtel Money
K-73073,11384,3686,5,Clothing,Accessories,Airtel Money
K-73073,2536,485,3,Beauty,Personal Care,Bank Transfer
K-50155,22552,8849,5,Electronics,TVs,Bank Transfer
K-50155,3957,-156,4,Beauty,Skincare,Airtel Money
K-91017,9289,1320,1,Furniture,Office,Credit Card
K-91017,4119,40,4,Beauty,Makeup,M-Pesa
K-31380,15095,-1455,3,Electronics,Accessories,Airtel Money
K-31380,25027,5047,6,Electronics,Appliances,Bank Transfer
K-31380,46270,-11069,7,Furniture,Office,Bank Transfer
K-31380,54212,12741,7,Furniture,Bedroom,Credit Card
K-43058,14347,3219,8,Clothing,Casual Wear,M-Pesa
K-72182,4451,1579,2,Clothing,Sportswear,Credit Card
K-72182,21716,63,10,Clothing,Casual Wear,Credit Card
K-72182,2099,836,4,Groceries,Cereals,Bank Transfer
K-72182,34166,2899,5,Furniture,Kitchen,Credit Card
K-14924,519,10,1,Groceries,Fresh Produce,M-Pesa
K-37816,40617,6107,10,Electronics,Laptops,Credit Card
K-52430,5267,1768,9,Groceries,Household,Cash on Delivery
K-52430,958,-167,2,Groceries,Fresh Produce,Credit Card
K-52430,12461,2854,7,Clothing,Accessories,M-Pesa
K-20308,25865,4642,3,Furniture,Office,Cash on Delivery
K-20308,17831,1240,2,Furniture,Kitchen,Credit Card
K-20308,2832,-7,5,Groceries,Snacks,Credit Card
K-20308,91429,3223,10,Furniture,Outdoor,Cash on Delivery
K-84753,11554,3366,7,Clothing,Casual Wear,M-Pesa
K-84753,6706,-1263,4,Clothing,Sportswear,Airtel Money
K-84753,43900,5329,5,Furniture,Kitchen,Airtel Money
K-10854,5665,1628,7,Beauty,Makeup,Bank Transfer
K-10854,13767,-489,3,Electronics,Mobile Phones,Cash on Delivery
K-10854,5663,1671,5,Beauty,Personal Care,M-Pesa
K-17031,17449,1174,4,Electronics,Laptops,M-Pesa
K-17031,69149,-5843,9,Furniture,Office,M-Pesa
K-17031,58852,18840,8,Furniture,Bedroom,M-Pesa
K-17031,19147,-4205,8,Clothing,Traditional Wear,M-Pesa
K-54260,48985,-3923,10,Electronics,TVs,Cash on Delivery
K-58846,25200,1473,3,Furniture,Outdoor,Airtel Money
K-58846,16033,3338,2,Furniture,Kitchen,Cash on Delivery
K-37576,9956,3063,5,Clothing,Formal Wear,Cash on Delivery
K-92537,34128,-4005,7,Electronics,TVs,Credit Card
K-92537,16334,6066,4,Electronics,Accessories,M-Pesa
K-92537,3522,1388,8,Groceries,Cereals,Credit Card
K-92537,15906,-1555,9,Clothing,Casual Wear,M-Pesa
K-47070,6244,1964,3,Clothing,Sportswear,Cash on Delivery
K-63180,2084,34,5,Groceries,Beverages,Credit Card
K-63180,6252,-149,3,Clothing,Sportswear,Credit Card
K-63180,38372,14185,4,Furniture,Office,Airtel Money
K-63180,8261,2453,4,Clothing,Sportswear,Credit Card
K-11315,2520,-150,6,Groceries,Cereals,Cash on Delivery
K-11315,53368,-8747,7,Furniture,Living Room,Airtel Money
K-11315,3279,-625,6,Groceries,Household,Airtel Money
K-11315,30743,6735,6,Electronics,Mobile Phones,Cash on Delivery
K-13334,11640,1693,10,Beauty,Makeup,M-Pesa
K-13334,828,-236,2,Groceries,Household,M-Pesa
K-13334,75937,29912,10,Furniture,Living Room,Airtel Money
K-13334,7179,-1415,4,Clothing,Casual Wear,M-Pesa
K-53799,4092,-580,4,Beauty,Haircare,Credit Card
K-53799,41189,7294,10,Electronics,Accessories,M-Pesa
K-53799,29955,-2317,7,Electronics,Mobile Phones,Credit Card
K-53799,3924,1498,9,Groceries,Snacks,Credit Card
K-53799,1499,32,3,Groceries,Beverages,Airtel Money
K-63770,6632,1969,7,Beauty,Personal Care,Airtel Money
K-63770,7549,502,4,Clothing,Sportswear,M-Pesa
K-63770,9525,1232,4,Clothing,Accessories,M-Pesa
K-75791,7122,-398,8,Beauty,Haircare,Airtel Money
K-75791,7017,1857,7,Beauty,Haircare,Credit Card
K-75791,9809,1752,9,Beauty,Makeup,Credit Card
K-66790,9665,-1679,2,Electronics,Accessories,M-Pesa
K-66790,8810,-1065,10,Beauty,Makeup,Credit Card
K-66790,12704,2613,7,Clothing,Accessories,Cash on Delivery
K-66790,1237,15,3,Groceries,Fresh Produce,Airtel Money
K-30567,3977,-1191,9,Groceries,Fresh Produce,Airtel Money
K-30567,71545,16121,8,Furniture,Living Room,Cash on Delivery
K-30567,18617,3490,10,Clothing,Sportswear,M-Pesa
K-30567,51601,4475,10,Electronics,Appliances,M-Pesa
K-35161,11516,995,5,Clothing,Formal Wear,Airtel Money
K-62978,14777,3375,9,Clothing,Sportswear,Cash on Delivery
K-62978,57446,2391,10,Electronics,Laptops,Airtel Money
K-62978,10756,-2608,6,Clothing,Traditional Wear,M-Pesa
K-99374,5704,-378,3,Clothing,Sportswear,Cash on Delivery
K-32807,39238,-6190,7,Electronics,Laptops,Airtel Money
K-84530,9129,-227,9,Beauty,Personal Care,Bank Transfer
K-84530,12956,90,3,Electronics,Mobile Phones,Airtel Money
K-84530,5184,984,1,Electronics,Accessories,M-Pesa
K-84530,3337,-866,3,Beauty,Fragrances,Bank Transfer
K-66997,74939,-20709,10,Furniture,Living Room,Cash on Delivery
K-66997,2846,293,6,Groceries,Fresh Produce,Bank Transfer
K-66997,489,-13,1,Groceries,Snacks,Airtel Money
K-66997,3325,915,8,Groceries,Fresh Produce,Airtel Money
K-66997,2006,494,2,Beauty,Skincare,Credit Card
K-73955,16087,216,3,Electronics,TVs,Cash on Delivery
K-73955,9168,-2063,4,Clothing,Traditional Wear,M-Pesa
K-73955,51364,-13595,8,Furniture,Kitchen,Cash on Delivery
K-16089,6110,-949,6,Beauty,Haircare,Credit Card
K-36569,31624,-586,7,Electronics,TVs,Bank Transfer
K-36569,80351,9371,9,Furniture,Office,Cash on Delivery
K-36569,39452,-9163,8,Electronics,Laptops,Airtel Money
K-36569,8278,-1339,7,Beauty,Personal Care,M-Pesa
K-36569,49902,-1160,6,Furniture,Living Room,Credit Card
K-46718,6444,-476,7,Beauty,Haircare,Bank Transfer
K-36866,10406,-2534,5,Clothing,Formal Wear,Airtel Money
K-36866,8853,179,8,Beauty,Makeup,Airtel Money
K-36866,4073,-1163,2,Clothing,Formal Wear,Cash on Delivery
K-36866,18237,1733,4,Electronics,Mobile Phones,Cash on Delivery
K-36866,1167,306,1,Beauty,Fragrances,Credit Card
K-43302,1622,-347,2,Beauty,Personal Care,M-Pesa
K-50846,53222,6478,9,Electronics,Mobile Phones,Cash on Delivery
K-50846,2083,100,5,Groceries,Fresh Produce,Airtel Money
K-59940,41531,-8908,7,Electronics,Mobile Phones,Cash on Delivery
K-59940,8000,411,4,Clothing,Traditional Wear,Cash on Delivery
K-59940,838,-205,1,Beauty,Fragrances,Credit Card
K-59940,8960,-102,8,Beauty,Fragrances,Airtel Money
K-59940,42432,-9472,6,Furniture,Office,M-Pesa
K-61247,81794,28605,10,Furniture,Office,Credit Card
K-63729,3367,-313,4,Beauty,Makeup,Cash on Delivery
K-63729,27128,308,5,Electronics,Laptops,M-Pesa
K-63729,52367,16739,7,Furniture,Outdoor,Bank Transfer
K-63729,5955,130,1,Electronics,Appliances,Bank Transfer
K-63729,5240,804,10,Groceries,Snacks,Credit Card
K-94072,2465,668,6,Groceries,Fresh Produce,M-Pesa
K-72135,41187,-7478,5,Furniture,Living Room,Bank Transfer
K-72135,28365,4974,3,Furniture,Office,Airtel Money
K-72135,3372,961,7,Groceries,Household,Cash on Delivery
K-72135,2788,1062,5,Groceries,Beverages,Credit Card
K-33043,1951,-473,2,Beauty,Personal Care,Bank Transfer
K-33043,4319,36,2,Clothing,Accessories,Bank Transfer
K-33043,3741,1374,2,Clothing,Traditional Wear,Credit Card
K-33043,4392,-1032,9,Groceries,Cereals,M-Pesa
K-40007,878,-17,1,Beauty,Skincare,M-Pesa
K-40007,3212,-803,6,Groceries,Household,Cash on Delivery
K-40007,17853,6191,4,Electronics,Mobile Phones,Bank Transfer
K-40007,93973,13801,10,Furniture,Bedroom,Credit Card
K-69125,8814,-1690,5,Clothing,Casual Wear,Bank Transfer
K-69125,36383,13443,7,Electronics,TVs,Credit Card
K-69125,36896,1531,5,Furniture,Bedroom,Airtel Money
K-69125,2350,-477,4,Groceries,Household,M-Pesa
K-69125,8326,-721,10,Beauty,Haircare,Bank Transfer
K-19034,26781,-411,5,Electronics,Laptops,M-Pesa
K-19034,23130,3316,10,Clothing,Sportswear,Credit Card
K-88073,2911,-24,3,Beauty,Personal Care,Airtel Money
K-88073,3569,-656,6,Groceries,Beverages,Cash on Delivery
K-81252,5990,1927,6,Beauty,Haircare,M-Pesa
K-81252,3352,-747,8,Groceries,Beverages,Cash on Delivery
K-81252,1143,-223,1,Beauty,Skincare,M-Pesa
K-81252,40535,-7305,7,Electronics,Laptops,Cash on Delivery
K-81252,420,161,1,Groceries,Beverages,Bank Transfer
K-52081,509,190,1,Groceries,Beverages,Cash on Delivery
K-52081,5154,-1028,1,Electronics,TVs,Credit Card
K-52081,10043,1169,2,Electronics,TVs,M-Pesa
K-93468,3181,-360,6,Groceries,Snacks,M-Pesa
K-93468,40373,11858,8,Electronics,TVs,M-Pesa
K-93468,45175,-2811,5,Furniture,Bedroom,M-Pesa
K-93468,59947,-8628,7,Furniture,Bedroom,Credit Card
K-93468,4977,1409,6,Beauty,Skincare,Credit Card
K-86033,3049,58,3,Beauty,Makeup,Cash on Delivery
K-86033,15078,-327,2,Furniture,Kitchen,Bank Transfer
K-86033,7023,171,4,Clothing,Formal Wear,Airtel Money
K-86033,32841,-9055,6,Electronics,TVs,Credit Card
K-86033,24527,-638,3,Furniture,Office,Credit Card
K-65557,1667,528,1,Clothing,Formal Wear,Airtel Money
K-65557,5056,58,9,Groceries,Cereals,Cash on Delivery
K-65557,7044,390,6,Beauty,Fragrances,M-Pesa
K-65557,17329,2278,9,Clothing,Traditional Wear,Cash on Delivery
K-65557,8690,1819,5,Clothing,Sportswear,Bank Transfer
K-60704,1266,-190,3,Groceries,Cereals,Airtel Money
K-79837,4833,1666,5,Beauty,Skincare,M-Pesa
K-79837,2459,604,3,Beauty,Fragrances,Bank Transfer
K-40284,9225,-240,1,Furniture,Kitchen,M-Pesa
K-40284,61225,22934,7,Furniture,Living Room,Credit Card
K-87669,1145,-262,2,Groceries,Beverages,M-Pesa
K-11257,8908,295,9,Beauty,Personal Care,Airtel Money
K-11257,6561,-1836,8,Beauty,Fragrances,Airtel Money
K-11257,45530,8601,10,Electronics,Accessories,M-Pesa
K-46678,22864,-723,4,Electronics,Laptops,Cash on Delivery
K-46678,3625,393,7,Groceries,Household,Cash on Delivery
K-46678,39540,-8442,9,Electronics,Accessories,Airtel Money
K-46678,7178,285,4,Clothing,Formal Wear,Cash on Delivery
K-40699,3174,468,7,Groceries,Snacks,M-Pesa
K-40699,5921,1013,6,Beauty,Fragrances,Bank Transfer
K-48375,4774,-973,9,Groceries,Fresh Produce,Cash on Delivery
K-48375,20900,710,4,Electronics,Appliances,M-Pesa
K-63165,17230,-4175,10,Clothing,Casual Wear,M-Pesa
K-63165,404,-67,1,Groceries,Beverages,Cash on Delivery
K-63165,12123,3752,7,Clothing,Accessories,M-Pesa
K-27616,41520,1046,6,Furniture,Bedroom,Credit Card
K-27616,7745,199,9,Beauty,Makeup,Credit Card
K-27616,2930,943,7,Groceries,Household,Cash on Delivery
K-27616,9363,3334,1,Furniture,Living Room,Airtel Money
K-27616,6746,1356,4,Clothing,Sportswear,Airtel Money
K-25153,22641,358,5,Electronics,Mobile Phones,Bank Transfer
K-25153,52915,8340,9,Electronics,TVs,Cash on Delivery
K-25153,838,-128,1,Beauty,Haircare,Cash on Delivery
K-50745,11527,211,2,Electronics,Accessories,M-Pesa
K-50745,16214,1100,10,Clothing,Traditional Wear,Credit Card
K-50745,22221,4375,4,Electronics,Mobile Phones,Cash on Delivery
K-50745,56718,11128,8,Furniture,Kitchen,Airtel Money
K-50745,1413,-403,3,Groceries,Fresh Produce,Airtel Money
K-85316,896,89,2,Groceries,Cereals,Bank Transfer
K-85316,3458,107,6,Groceries,Fresh Produce,Credit Card
K-85316,6924,879,1,Furniture,Outdoor,Airtel Money
K-37976,25332,-6410,6,Electronics,Laptops,M-Pesa
K-37976,4695,-870,2,Clothing,Traditional Wear,Credit Card
K-37976,7283,-438,9,Beauty,Personal Care,Bank Transfer
K-37976,11846,-2148,5,Clothing,Accessories,Airtel Money
K-64610,2802,-682,7,Groceries,Cereals,Cash on Delivery
K-64610,3326,79,6,Groceries,Beverages,Credit Card
K-64610,16575,5441,8,Clothing,Sportswear,Airtel Money
K-64610,9043,-1461,1,Furniture,Office,Cash on Delivery
K-64610,4023,-516,8,Groceries,Beverages,Airtel Money
K-39942,65317,11511,8,Furniture,Bedroom,Bank Transfer
K-39942,5315,-432,6,Beauty,Makeup,M-Pesa
K-39942,18880,429,2,Furniture,Bedroom,Cash on Delivery
K-91425,25801,8363,3,Furniture,Kitchen,Cash on Delivery
K-91425,49905,261,9,Electronics,Accessories,Cash on Delivery
K-56455,20135,5122,10,Clothing,Formal Wear,M-Pesa
K-46393,9403,170,1,Furniture,Bedroom,Bank Transfer
K-46393,68576,-3005,9,Furniture,Office,M-Pesa
K-46393,23783,-3661,3,Furniture,Bedroom,M-Pesa
K-46393,2319,-660,2,Beauty,Fragrances,Bank Transfer
K-53201,4119,1214,8,Groceries,Cereals,M-Pesa
K-53201,4680,1213,2,Clothing,Formal Wear,M-Pesa
K-53201,3851,257,8,Groceries,Snacks,Airtel Money
K-53201,6843,-355,6,Beauty,Personal Care,Airtel Money
K-94427,45499,-1351,8,Electronics,TVs,Credit Card
K-94427,21797,-2875,10,Clothing,Formal Wear,Bank Transfer
K-94427,3631,1050,8,Groceries,Fresh Produce,Airtel Money
K-30074,8633,-808,5,Clothing,Formal Wear,M-Pesa
K-30074,21562,2204,10,Clothing,Casual Wear,Bank Transfer
K-30074,38431,-7993,5,Furniture,Bedroom,M-Pesa
K-30074,74697,26166,10,Furniture,Outdoor,M-Pesa
K-15093,7943,-1949,4,Clothing,Casual Wear,Credit Card
K-73842,12868,-3666,3,Electronics,Laptops,Cash on Delivery
K-73842,6143,-1173,6,Beauty,Makeup,Airtel Money
K-73842,9516,-1989,5,Clothing,Casual Wear,M-Pesa
K-73842,4589,1388,4,Beauty,Skincare,M-Pesa
K-73842,4394,783,2,Clothing,Formal Wear,Airtel Money
K-61669,46545,-9143,7,Furniture,Kitchen,Credit Card
K-61669,2814,-262,3,Beauty,Fragrances,Airtel Money
K-61669,418,-16,1,Groceries,Household,Bank Transfer
K-61669,8718,1915,2,Electronics,Mobile Phones,Credit Card
K-61669,990,188,2,Groceries,Cereals,Bank Transfer
K-67543,55780,8740,7,Furniture,Office,Bank Transfer
K-51952,19878,3388,3,Furniture,Kitchen,Airtel Money
K-51952,35749,-4569,7,Electronics,Laptops,Airtel Money
K-51952,64242,-18119,7,Furniture,Outdoor,Airtel Money
K-51952,37450,13968,8,Electronics,Mobile Phones,Credit Card
K-93323,7786,2722,1,Furniture,Living Room,Bank Transfer
K-93323,14607,3752,2,Furniture,Office,Bank Transfer
K-37516,1603,159,1,Clothing,Sportswear,Cash on Delivery
K-37516,2944,-416,6,Groceries,Beverages,M-Pesa
K-37516,43304,12510,9,Electronics,Laptops,Bank Transfer
K-30948,13108,-1800,6,Clothing,Formal Wear,Airtel Money
K-59763,20670,-3679,10,Clothing,Sportswear,Credit Card
K-59763,7094,984,3,Clothing,Traditional Wear,Airtel Money
K-59763,12434,-884,7,Clothing,Traditional Wear,Bank Transfer
K-59763,9220,-2591,5,Clothing,Sportswear,M-Pesa
K-59763,53831,-1303,8,Furniture,Living Room,Bank Transfer
K-17574,3633,-174,8,Groceries,Beverages,Airtel Money
K-17574,5010,1102,5,Beauty,Makeup,Airtel Money
K-62878,5278,-325,6,Beauty,Makeup,Cash on Delivery
K-62878,57790,-12846,10,Electronics,Laptops,Airtel Money
K-83094,4421,-114,4,Beauty,Skincare,Credit Card
K-83094,66695,-5260,9,Furniture,Kitchen,Cash on Delivery
K-83094,8544,3387,1,Furniture,Kitchen,M-Pesa
K-83094,2293,490,1,Clothing,Casual Wear,M-Pesa
K-28919,4571,-253,9,Groceries,Beverages,Bank Transfer
K-28919,11678,3552,10,Beauty,Makeup,Credit Card
K-28919,35773,9621,6,Electronics,TVs,Airtel Money
K-28919,4206,-724,5,Beauty,Haircare,Cash on Delivery
K-24224,1426,-374,3,Groceries,Beverages,Credit Card
K-24224,7859,2709,7,Beauty,Haircare,Cash on Delivery
K-66797,17759,-4617,10,Clothing,Sportswear,Airtel Money
K-66797,6880,90,7,Beauty,Personal Care,Bank Transfer
K-72306,3532,1135,4,Beauty,Skincare,M-Pesa
K-72306,12466,-43,6,Clothing,Accessories,Bank Transfer
K-72306,14903,735,8,Clothing,Traditional Wear,M-Pesa
K-72306,47366,10644,8,Electronics,Mobile Phones,Bank Transfer
K-14737,929,-29,1,Beauty,Makeup,Bank Transfer
K-14737,4539,1210,4,Beauty,Skincare,Cash on Delivery
K-14737,6784,-798,4,Clothing,Accessories,Credit Card
K-14737,23147,-3313,5,Electronics,Laptops,M-Pesa
K-14737,4055,-234,2,Clothing,Accessories,Credit Card
K-41427,1240,328,3,Groceries,Cereals,Cash on Delivery
K-41427,14551,-2269,8,Clothing,Formal Wear,Bank Transfer
K-41427,15850,-2854,3,Electronics,Appliances,M-Pesa
K-95139,3101,-230,3,Beauty,Haircare,Bank Transfer
K-95139,8644,2242,1,Furniture,Outdoor,Airtel Money
K-95139,30945,5534,4,Furniture,Office,Bank Transfer
K-95139,18480,-1690,2,Furniture,Outdoor,Bank Transfer
K-37643,3865,-591,8,Groceries,Fresh Produce,Airtel Money
K-37643,9355,-1394,4,Clothing,Sportswear,Credit Card
K-92869,6573,2124,3,Clothing,Traditional Wear,Cash on Delivery
K-92869,4136,1235,4,Beauty,Personal Care,M-Pesa
K-92869,4266,-343,8,Groceries,Fresh Produce,Cash on Delivery
K-88786,4106,725,4,Beauty,Personal Care,Bank Transfer
K-19069,1386,-384,3,Groceries,Household,Credit Card
K-19069,8545,-1896,4,Clothing,Accessories,Cash on Delivery
K-17718,2311,38,2,Beauty,Haircare,Airtel Money
K-17718,34328,9115,6,Electronics,Laptops,Cash on Delivery
K-17718,875,160,1,Beauty,Fragrances,Bank Transfer
K-17718,2053,-49,1,Clothing,Accessories,Airtel Money
K-17718,82010,21534,10,Furniture,Living Room,Credit Card
K-45406,4697,942,5,Beauty,Fragrances,Cash on Delivery
K-45406,3667,-981,9,Groceries,Fresh Produce,Bank Transfer
K-45406,1717,298,2,Beauty,Makeup,Airtel Money
K-45406,17348,-946,3,Electronics,TVs,M-Pesa
